"program_id","macro_id","experiment_id","family_id","family_name","prompt_architecture","replicate_index","task_type","model_version","duration","ratio","ratio_rule","video_resolution","poll","prompt_path","prompt_sha256","package_path","package_sha256","fixture_ids","fixture_paths","fixture_sha256s","expected_result_images_count","expected_result_videos_count","expected_output_count","planned_credit_cost","output_dir","output_name","review_frame_plan","applicable_scoring_dimensions","no_submit","submit_authorized","query_authorized","download_authorized","retry_authorized","resubmit_authorized","batch_authorized","final_master","locked","status","notes"
"CAL-001","CAL-001A","CAL001-F01-P1-R1","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P1_LEGACY_DESCRIPTIVE","1","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P1_prompt.txt","a16714b85d021e0a4a6f118f96a805ba5f23927ceb259aeace19ebe075ed46c6","experiments/CAL-001/packages/F01/CAL001-F01-P1-R1_package.json","c654fd1d6114e57e209c9b006486d0a45f917a8e16bb972aaae243efa90dd0d5","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P1-R1","CAL001-F01-P1-R1_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P1-R2","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P1_LEGACY_DESCRIPTIVE","2","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P1_prompt.txt","a16714b85d021e0a4a6f118f96a805ba5f23927ceb259aeace19ebe075ed46c6","experiments/CAL-001/packages/F01/CAL001-F01-P1-R2_package.json","8b4c657641cc20b2eaac846efce2f60f33336a9306f8970f8fa9d1c67fffa450","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P1-R2","CAL001-F01-P1-R2_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P1-R3","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P1_LEGACY_DESCRIPTIVE","3","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P1_prompt.txt","a16714b85d021e0a4a6f118f96a805ba5f23927ceb259aeace19ebe075ed46c6","experiments/CAL-001/packages/F01/CAL001-F01-P1-R3_package.json","326501599f849abfab9956fe0b0638fc6955a881f5276d7e17ede6e062964e3c","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P1-R3","CAL001-F01-P1-R3_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P2-R1","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P2_RESULT_FIRST_CONCISE","1","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P2_prompt.txt","e18bd22187c34bf38cd6cd8c793b0093968f94b263c12ff683987ea0d26f5368","experiments/CAL-001/packages/F01/CAL001-F01-P2-R1_package.json","f8763f6cf62aa7893b6f0026544f5865eec5fcc6b2c288c809cdd7b5eab5e310","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P2-R1","CAL001-F01-P2-R1_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P2-R2","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P2_RESULT_FIRST_CONCISE","2","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P2_prompt.txt","e18bd22187c34bf38cd6cd8c793b0093968f94b263c12ff683987ea0d26f5368","experiments/CAL-001/packages/F01/CAL001-F01-P2-R2_package.json","eab6720a8311b5d7baeab7f8e423570fa33e9ffc8f79fefa690469b2e11ed703","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P2-R2","CAL001-F01-P2-R2_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P2-R3","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P2_RESULT_FIRST_CONCISE","3","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P2_prompt.txt","e18bd22187c34bf38cd6cd8c793b0093968f94b263c12ff683987ea0d26f5368","experiments/CAL-001/packages/F01/CAL001-F01-P2-R3_package.json","d999a4237391d2a950abda7d981adf62986ef49cf21c537c5f108215b5921934","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P2-R3","CAL001-F01-P2-R3_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P3-R1","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P3_RESULT_FIRST_WITH_DUTIES","1","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P3_prompt.txt","222f4e64cb75dba9c90a6efc5161ce82e699fd8ee0f81b6b9d3004bb96d8dd8c","experiments/CAL-001/packages/F01/CAL001-F01-P3-R1_package.json","5ead925b9add0ca3ae5efb8c89d2096d9734f666e88746e24accec9400d2191c","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P3-R1","CAL001-F01-P3-R1_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P3-R2","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P3_RESULT_FIRST_WITH_DUTIES","2","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P3_prompt.txt","222f4e64cb75dba9c90a6efc5161ce82e699fd8ee0f81b6b9d3004bb96d8dd8c","experiments/CAL-001/packages/F01/CAL001-F01-P3-R2_package.json","9af25e4040a79527ef298c5a92c156c62e5572f55a29c8c40e566310043148e3","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P3-R2","CAL001-F01-P3-R2_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P3-R3","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P3_RESULT_FIRST_WITH_DUTIES","3","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P3_prompt.txt","222f4e64cb75dba9c90a6efc5161ce82e699fd8ee0f81b6b9d3004bb96d8dd8c","experiments/CAL-001/packages/F01/CAL001-F01-P3-R3_package.json","cc2d3903102b6ea91ddeaebc072a97309b1389eaa34e5d9ca86ef8c91b363826","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P3-R3","CAL001-F01-P3-R3_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
"CAL-001","CAL-001A","CAL001-F01-P4-R1","F01","TEXT2VIDEO_WORLD_STYLE_ACTION","P4_RESULT_FIRST_TIMED_COMPACT","1","text2video","seedance2.0_vip","5","16:9","explicit","720p","0","experiments/CAL-001/prompts/F01/CAL001-F01-P4_prompt.txt","8f5858500b2c9961de03b7a6201edd26335195b40f14cfef4752eeab6d9f5dc6","experiments/CAL-001/packages/F01/CAL001-F01-P4-R1_package.json","fb55162af8a2c025189a73c14222151cf6c2a731ddd49394fb43e0120892f34b","","","","0","1","1","70","experiments/CAL-001/runs/CAL001-F01-P4-R1","CAL001-F01-P4-R1_result.mp4","metadata|0.00s|1.00s|2.00s|3.00s|4.00s|final_readable|3x2_contact_sheet|no_cut|no_final|no_lock","prompt_goal_match|action_readability|temporal_coherence|style_coherence|editability","true","false","false","false","false","false","false","false","false","planned_no_run","Fixed non-adaptive CAL-001A row; no live authority; runtime cost and command help require later activation audit."
